question,answer
How do I book a taxi in Riyadh?,"Open the app, enter your pickup/dropoff locations, select vehicle type, and tap 'Confirm Ride'."
هل يمكنني حجز سيارة مسبقًا؟,"نعم، اضغط على زر 'الجدولة' واختر التاريخ والوقت المطلوبين قبل 24 ساعة كحد أقصى."
Why was my ride cancellation fee charged?,"Cancellation fees apply if you cancel after driver assignment or keep them waiting over 5 minutes."
هل لديكم سائقون نساء في جدة؟,"نعم، يمكنك طلب سائق نساء عند حجز الرحلة من خلال اختيار 'للنساء' في خيارات المركبة."
What payment methods do you accept?,"We accept: Apple Pay, STC Pay, credit cards, Mada cards, and cash."
لم أستطع فتح التطبيق اليوم، ماذا أفعل؟,"جرب إعادة تشغيل هاتفك أو تحديث التطبيق. إذا استمرت المشكلة، أرسل لقطة شاشة إلى الدعم الفني."
Are there extra charges for airport rides?,"Yes, airport pickups include a SAR 15 surcharge. Drop-offs have no extra fees."
كيف أستعيد حقيبة نسيت في التاكسي؟,"اتصل بالدعم فورًا على 920000000 مع رقم الرحلة. السائق سيتحقق من المقعد الخلفي."
What safety features do you offer?,"All rides are GPS-tracked, shareable with emergency contacts. Drivers are verified with background checks."
هل تطبيقكم يعمل في الدمام والخبر؟,"نعم، خدماتنا متوفرة في الرياض، جدة، مكة، المدينة، الدمام، الخبر، والطائف."
How do I use STC Pay for payments?,"Go to 'Payment Methods' > 'Add STC Pay' > verify with your STC Pay credentials."
متى يطبق سعر الذروة؟,"تطبق أسعار الذروة من 7-9 صباحًا و4-7 مساءً أيام العمل، مع زيادة تصل إلى 20٪."
Can I book a ride to King Khalid Airport?,"Yes, enter 'King Khalid International Airport' as your destination. Allow extra time for security."
هل يمكن تغيير طريقة الدفع بعد الرحلة؟,"لا، يجب اختيار طريقة الدفع قبل بدء الرحلة. يمكنك تغييرها في الإعدادات للرحلات القادمة."
Why did my driver take a longer route?,"Our app suggests optimal routes. If concerned, report via 'Trip History' for fare review."
ما هي متطلبات التسجيل كسائق؟,"الحصول على رخصة قيادة سعودية سارية، عمر لا يقل عن ٢٣ سنة، وفحص مركبة سنوي، والسيارة موديل ٢٠١٥ أو أحدث."
The map isn't showing my location correctly,"Enable location permissions in your phone settings. If issue persists, restart the app."
كيف أضيف جهة اتصال طوارئ؟,"اذهب إلى 'الإعدادات' > 'الأمان' > 'جهات اتصال الطوارئ' وأضف رقم الهاتف."
Is Apple Pay available for all rides?,"Yes, Apple Pay is accepted across all cities and vehicle types."
لماذا تم خصم مبلغ دون إكمال الرحلة؟,"قد يحدث هذا إذا تم إنهاء الرحلة مبكرًا. راجع تفاصيل الرحلة أو اتصل بالدعم للتحقيق."
How to schedule a ride for tomorrow?,"Tap 'Schedule' before booking, select date/time. Driver will arrive within 15 mins of chosen slot."
هل يوجد رسوم للإلغاء في المطار؟,"نعم، تطبق رسوم إلغاء ١٠ ريال إذا تم الإلغاء بعد وصول السائق إلى نقطة اللقاء."
I was charged nighttime fees at 5PM,"Night surcharges apply only between 10PM-6AM. Send trip details to support@taxiapp.sa for refund."
كيف أتحقق من سعر الرحلة مسبقًا؟,"بعد إدخال الوجهة، يظهر السعر التقديري في الشاشة قبل التأكيد. الأسعار النهائية حسب المسافة الفعلية."
What if my driver asks for cash only?,"All payments are app-managed. Report such requests immediately via in-app 'Safety Toolkit'."
هل يمكن طلب سيارة لـ ٦ ركاب في الرياض؟,"نعم، اختر مركبة 'العائلية' أو 'SUV' أثناء الحجز للسعات الأكبر."
Why is my promo code not working?,"Ensure it's entered correctly, valid for your city, and meets minimum ride amount. Expiry dates apply."
كيف أبلغ عن سائق مهمل لقواعد السلامة؟,"استخدم زر 'تقرير مشكلة' في التطبيق بعد الرحلة أو اتصل على ٩٢٠٠٠٠٠٠٠."
Are child seats available?,"Yes, select 'Child Seat' option during booking (SAR 10 extra). Limited availability - book early."
متى يصدر إيصال الرحلة؟,"يتم إرسال الإيصال إلى بريدك الإلكتروني بعد ٣٠ دقيقة من انتهاء الرحلة. تجده أيضًا في 'سجل الرحلات'."
Driver didn't arrive at pickup location,"Track them via GPS. If delayed over 10 mins, cancel penalty-free and rebook."
هل تدعمون الدفع عبر STC Pay؟,"نعم، اختر 'STC Pay' في طرق الدفع وأكّد الدفع عبر تطبيق STC Pay على هاتفك."
How to change my destination mid-ride?,"Ask your driver to update via their app, or enter new destination in your app's 'Current Trip' screen."
أين أجد رقم رحلتي؟,"في الشاشة الرئيسية أثناء الرحلة، أو في 'سجل الرحلات' بعد الانتهاء، أو في إيصالك الإلكتروني."
Is there Wi-Fi in your taxis?,"Premium/SUV vehicles offer free Wi-Fi. Look for 'Wi-Fi' tag during vehicle selection."
كيف أغير اللغة في التطبيق؟,"اذهب إلى 'الإعدادات' > 'اللغة' واختر العربية أو الإنجليزية. التغيير فوري."
Why was I charged SAR 25 for cancellation?,"This occurs if driver waited over 10 minutes at pickup point. Fee compensates their time."
هل هناك سيارات فاخرة؟,"نعم، اختر 'بريميوم' أثناء الحجز. متوفرة في الرياض وجدة والدمام بسعر أعلى بنسبة ٣٥٪."
App keeps crashing during payment,"Update to latest app version. If unresolved, uninstall/reinstall or use web booking at book.taxiapp.sa."
كيف أتأكد من هوية السائق؟,"طابق رقم السيارة واسم السائق وصورته في التطبيق. جميع السائقين يحملون هويات موثقة."
Can I book multiple stops?,"Yes, tap '+' icon after entering destination. Max 2 stops with 3 mins wait time each."
ماذا أفعل إذا تعرضت لحادث؟,"استخدم زر 'مساعدة الطوارئ' في التطبيق للإبلاغ الفوري. سنرسل الشرطة والمساعدة الطبية."
Why higher price than estimate?,"Final fare may change due to traffic, route changes, or added waiting time. Review trip details."
هل يوجد دعم للكراسي المتحركة؟,"نعم، اختر مركبة 'مخصصة' عند الحجز في الرياض وجدة (متوفرة قبل ٦ ساعات على الأقل)."
How to get a business ride receipt?,"Select 'Business Ride' before booking. Detailed VAT invoices are auto-sent to your email."
لماذا لا يتعرف التطبيق على موقعي؟,"تأكد من تشغيل GPS واتصال الإنترنت. إذا استمر الخطأ، أعد تشغيل الهاتف."
Are pets allowed?,"Only service animals permitted. Guide dogs allowed with prior notice via support line."
